Product Name,Current Price,Old Price,Discount,Product URL
N/A,"KSh 98,500",N/A,6%,https://www.jumia.co.ke/hp-brand-new-all-in-one-24-cb1024nh-core-i51235u-8gb-ram-512gb-ssd-23.8inch-touch-display-319285865.html
N/A,"KSh 56,549",N/A,14%,https://www.jumia.co.ke/apple-refurbished-all-in-one-imac-162-21.5-inch-display-late-2015-intelrcoretm-i5-5th-gen-16-gb-ram-1tb-2.80-ghz-309238955.html
N/A,"KSh 93,500",N/A,N/A,https://www.jumia.co.ke/hp-all-in-one-24-pc-intelr-coretm-i5-12th-generation-8gb-ram-512gb-ssd-23.8-fhd-display-b73tcea-319083678.html
N/A,"KSh 95,000",N/A,N/A,https://www.jumia.co.ke/hp-aio-24-intel-corei5-8gb-ram-512gb-ssd-23.8-dos-black-319042952.html
N/A,"KSh 101,500",N/A,N/A,https://www.jumia.co.ke/hp-24-all-in-one-desktop-intel-core-i5-1235u-23.8-fhd-ips-touchscreen-intel-iris-xe-graphics-wifi-6-hdmi-1080p-camera-8gb-ddr4-ram-512gb-m.2-ssd-windows-11-home-324977073.html
N/A,"KSh 131,000",N/A,N/A,https://www.jumia.co.ke/hp-all-in-one-27-cr0155nh-pc-intel-core-i7-1355u-8gb-ddr4-3200-512gb-pcier-nvmetm-m.2-ssd-freedos-27-fhd-touchscreen-324981343.html
N/A,"KSh 150,000",N/A,25%,https://www.jumia.co.ke/hp-all-in-one-24-ci716gb512gb23.8dos-325139207.html
N/A,"KSh 130,000",N/A,N/A,https://www.jumia.co.ke/hp-pavilion-27-ca2056nh-intel-core-i7-13700t-16gb-ram-512gb-ssd-27-full-hd-1920-x-1080-dos-non-touch-324977100.html
N/A,"KSh 115,000",N/A,N/A,https://www.jumia.co.ke/hp-proone-440-g9-all-in-one-pc-intelr-coretm-i7-13700t-8gb-ram-512gb-ssd-fhd-non-touchscreen-freedos-324981345.html
N/A,"KSh 150,000",N/A,25%,https://www.jumia.co.ke/hp-all-in-one-24-cr0310nh-all-in-one-desktop-core-i5-1334u-13th-gen-8gb-ram-512gb-ssd-23.8-inch-fhd-325139500.html
N/A,"KSh 57,599",N/A,24%,https://www.jumia.co.ke/apple-refurbished-imac-all-in-one-desktop-171-with-a-small-dent-intelr-coretm-i5-6th-gen-8-gb-ram-1tb-27-inch-display-3.20-ghz-265024636.html
N/A,"KSh 20,000",N/A,N/A,https://www.jumia.co.ke/hp-refurbished-pro-4300-all-in-one-intel-core-i3-4gb-ram-500gb-hdd-306429171.html
N/A,"KSh 101,000",N/A,N/A,https://www.jumia.co.ke/hp-24-cb-1024nh-all-in-one-23.8-fhd-1920-x-1080-touchscreen-intel-core-i5-1235u-8gb-ddr4-ram-512gb-ssd-black-324976508.html
N/A,"KSh 116,000",N/A,N/A,https://www.jumia.co.ke/hp-proone-440-g9-aio-23.8-fhd-desktop-computer-13th-generation-intelr-coretm-i7-processor-8gb-ram-512gb-ssd-non-touch-freedos-324981344.html
N/A,KSh 871,N/A,48%,https://www.jumia.co.ke/generic-4-in-1-type-chdmivgapd-chargingusb-3.0-adapter-docking-station-hub-153918778.html
N/A,"KSh 1,097",N/A,39%,https://www.jumia.co.ke/15-19-v-3.3-a-blue-pin-charger-complete-with-power-cable-hp-mpg362113.html
N/A,KSh 380,N/A,36%,https://www.jumia.co.ke/gueeton-2.4g-bluetooth-dual-mode-rechargeable-wireless-mouse-black-152702491.html
N/A,KSh 455,N/A,62%,https://www.jumia.co.ke/generic-portable-aluminium-alloy-fold-able-computer-support-laptop-stand-66795009.html
N/A,KSh 902,N/A,53%,https://www.jumia.co.ke/lenovo-laptop-thinkpad-x270-x250-x260-t440p-t440s-t450-charger-20v-3.25a-65w-usb-pin-317654734.html
N/A,KSh 279,N/A,30%,https://www.jumia.co.ke/generic-laptop-power-flower-cable-fused-3-pin-plug-48624518.html
N/A,"KSh 1,099",N/A,12%,https://www.jumia.co.ke/video-capture-live-broadcast-card-hdmi-to-usb-hd-generic-mpg413608.html
N/A,KSh 598,N/A,14%,https://www.jumia.co.ke/advance-16gb-memory-card-16-gb-micro-sd-plus-adapter.-253469496.html
N/A,"KSh 1,147",N/A,33%,https://www.jumia.co.ke/laptop-charger-complete-with-cable-20v-3.25a-small-pin-lenovo-mpg351878.html
N/A,KSh 382,N/A,35%,https://www.jumia.co.ke/eageat-metal-foldable-laptop-tablet-stand-194881486.html
N/A,KSh 379,N/A,46%,https://www.jumia.co.ke/richripple-2.4g-wireless-dual-mode-bluetooth-mouse-wireless-rechargeable-mouse-179381061.html
N/A,KSh 381,N/A,76%,https://www.jumia.co.ke/led-2.4g-rechargeable-wireless-mouse-generic-mpg416675.html
N/A,KSh 356,N/A,62%,https://www.jumia.co.ke/adjustable-aluminum-laptop-stand-silver-white-label-mpg8920868.html
N/A,KSh 490,N/A,38%,https://www.jumia.co.ke/generic-foldable-portable-laptop-stand-with-mobile-phone-stand-3-in-1-black-247597207.html
N/A,KSh 380,N/A,36%,https://www.jumia.co.ke/gueeton-2.4g-bluetooth-dual-mode-rechargeable-wireless-mouse-black-152702491.html
N/A,KSh 299,N/A,25%,https://www.jumia.co.ke/mouse-mat-pc-wrist-rest-support-generic-mpg9160957.html
N/A,KSh 336,N/A,37%,https://www.jumia.co.ke/colorful-led-2.4g-rechargeable-mouse-gold-white-label-mpg9519555.html
N/A,KSh 289,N/A,64%,https://www.jumia.co.ke/gtygo-2-pcs-usb-wired-mouse-optical-1000-dpi-precision-plug-play-313493188.html
N/A,KSh 579,N/A,52%,https://www.jumia.co.ke/gueeton-128gb-usb-flash-drive-metal-hook-with-3-in-1-otg-adapter-usb-cable-319451716.html
N/A,KSh 508,N/A,56%,https://www.jumia.co.ke/generic-3-in-1-otg-usb-flash-drive-128g-black-293702796.html
N/A,KSh 500,N/A,62%,https://www.jumia.co.ke/generic-3-in-1-rotating-usb-flash-drive-128g-black-171361956.html
N/A,"KSh 7,999",N/A,20%,https://www.jumia.co.ke/hp-deskjet-2320-all-in-one-printer-print-copy-scan-usb-interface-white-1yr-wrty-241281115.html
N/A,"KSh 21,999",N/A,12%,https://www.jumia.co.ke/canon-pixma-g2430-megatank-mfp-printer-black-1yr-wrty-190611546.html
N/A,"KSh 42,999",N/A,14%,https://www.jumia.co.ke/epson-ecotank-l4260-a4-wi-fi-duplex-all-in-one-ink-tank-printer-1yr-wrty-187652976.html
N/A,"KSh 6,770",N/A,44%,https://www.jumia.co.ke/hp-deskjet-2320-all-in-one-printer-free-305-black-305-color-catridges-306416477.html
N/A,"KSh 1,500",N/A,56%,https://www.jumia.co.ke/clarion-103-compartible-ink-blackmagentacyan-yellow-white-cap-ink-323790217.html
N/A,"KSh 10,250",N/A,21%,https://www.jumia.co.ke/hp-deskjet-ink-advantage-2875-wireless-all-in-one-printer-print-copy-scan-printer-cable1yr-wrty-308466609.html
N/A,"KSh 2,350",N/A,41%,https://www.jumia.co.ke/hp-26a-laserjet-toner-cartridge-cf226a-261936545.html
N/A,"KSh 2,400",N/A,4%,https://www.jumia.co.ke/generic-1-kg-kyocera-refilling-powder-305020177.html
N/A,"KSh 1,799",N/A,28%,https://www.jumia.co.ke/epson-103-original-ecotank-ink-black-325675778.html
N/A,"KSh 1,090",N/A,27%,https://www.jumia.co.ke/clarity-set-of-4-epsonrefill-inkblack-cyan-yellow-magenta-315414693.html
N/A,"KSh 6,400",N/A,66%,https://www.jumia.co.ke/renewed-chromebook-4gb-ram-32gb-ssd-11.6-hd-display-wi-fi-chrome-os-student-laptop-refurbished-324119134.html
N/A,"KSh 10,197",N/A,58%,https://www.jumia.co.ke/lenovo-refurbished-thinkpad-yoga-11e-touch-screen-intel-celeron-4gb-128gb-ssd-11.6-216079518.html
N/A,"KSh 19,475",N/A,46%,https://www.jumia.co.ke/renewed-refurbished-probook-x360-11-g4-intel-core-i5-8gb-256gb-ssd-2-in-1-11.6-touchscreen-ultraslim-313589334.html
N/A,"KSh 6,400",N/A,66%,https://www.jumia.co.ke/renewed-chromebook-4gb-ram-32gb-ssd-11.6-hd-display-wi-fi-chrome-os-student-laptop-refurbished-325502175.html
N/A,"KSh 35,055",N/A,36%,https://www.jumia.co.ke/renewed-refurbished-elitebook-840-g5g6-14-fhd-intel-core-i7-8250u16gb-ram512gb-ssd-windows-11-313443406.html
N/A,"KSh 13,996",N/A,42%,https://www.jumia.co.ke/lenovo-refurbished-thinkpad-x250-intel-core-i5-8gb-ram-256gb-ssd-12.5-black-6-months-wrty-309562291.html
N/A,"KSh 9,999",N/A,33%,https://www.jumia.co.ke/lenovo-refurbished-thinkpad-11e-celeron-4-gb-ram-ssd-128gb-11.6-black-6-months-wrty-324807659.html
N/A,"KSh 19,999",N/A,20%,https://www.jumia.co.ke/hp-8gb-ram-500gb-hard-disk-elitebookprobook-laptop-refurbished-laptop-14-inches-screen-display-intel-core-i5-laptopwebcam-windows-11-pro-activated-office-basic-software-installed-free-bag-charger-mouse-pad-free-wireless-mouse-extension-299264225.html
N/A,"KSh 33,599",N/A,33%,https://www.jumia.co.ke/hp-refurbished-probook-440-g7-intel-core-i5-10th-gen-16gb-ram-512gb-ssd-14-inch-touchscreen-fhd-display-notebook-pc-laptop-win-11-pro-6-months-wrty-325392384.html
N/A,"KSh 20,999",N/A,30%,https://www.jumia.co.ke/8gb-ram-256gb-ssd-elitebook-840-g1-14-screen-display-refurbished-intel-core-i5-laptop.-bluetoothwebcam-windows-11-pro-activated-office-software-installed-free-bag-charger-wireless-mousemousepad-extension-hp-mpg9595909.html
N/A,"KSh 29,999",N/A,17%,https://www.jumia.co.ke/hp-elitebook-840-g6-8th-gen-core-i5-16gb-ram-256gb-ssd-refurbished-14-silver-win-6-months-wrty-304655964.html
N/A,"KSh 14,699",N/A,30%,https://www.jumia.co.ke/elitebook-820-g1-intel-core-i5-6th-gen-4gb-ram-500gb-hdd-12.5-inches-hp-mpg604949.html
N/A,"KSh 24,246",N/A,46%,https://www.jumia.co.ke/hp-elitebook-830-g56-core-i5-7th-gen-8gb-ram-256gb-ssd-13.3-fhd-display-windows-10-windows-11-313131673.html
EAGEAT 10 Speed Adjustable Laptop Stand+phone Stand,KSh 302,KSh 508,41%,https://www.jumia.co.ke/eageat-10-speed-adjustable-laptop-standphone-stand-194881475.html
GUEETON 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,KSh 557,KSh 929,40%,https://www.jumia.co.ke/gueeton-128gb-metal-otg-usb-flash-drive-waterproof-3d-embossment-91921997.html
EAGEAT Pen Flash Drive 3.0 128GB - Metal OTG Micro USB Type-C,KSh 531,KSh 800,34%,https://www.jumia.co.ke/eageat-pen-flash-drive-3.0-128gb-metal-otg-micro-usb-type-c-299556625.html
EAGEAT 10 Speed Adjustable Laptop Stand+phone Stand,KSh 302,KSh 500,40%,https://www.jumia.co.ke/eageat-10-speed-adjustable-laptop-standphone-stand-194881482.html
GUEETON Ultra-thin Wireless Mouse 2.4G Bluetooth Dual Mode Rechargeable Silver,KSh 381,"KSh 1,608",76%,https://www.jumia.co.ke/led-2.4g-rechargeable-wireless-mouse-generic-mpg416675.html
White Label Colorful LED 2.4G Rechargeable Mouse - Black,KSh 336,KSh 670,50%,https://www.jumia.co.ke/colorful-led-2.4g-rechargeable-mouse-black-white-label-mpg9519554.html
GUEETON 128GB usb Flash Drive metal hook with 3 in 1 OTG adapter usb cable,KSh 579,"KSh 1,206",52%,https://www.jumia.co.ke/gueeton-128gb-usb-flash-drive-metal-hook-with-3-in-1-otg-adapter-usb-cable-319451716.html
EAGEAT Metal Foldable Laptop Tablet Stand,KSh 382,KSh 586,35%,https://www.jumia.co.ke/eageat-metal-foldable-laptop-tablet-stand-194881486.html
"Starlink Standard Kit: High-Speed, Low-Latency Internet with Gen 3 Router, Wi-Fi 6","KSh 45,000",N/A,N/A,https://www.jumia.co.ke/starlink-standard-kit-high-speed-low-latency-internet-with-gen-3-router-wi-fi-6-280574791.html
White Label Colorful LED 2.4G Rechargeable Mouse - Silver,KSh 336,KSh 670,50%,https://www.jumia.co.ke/colorful-led-2.4g-rechargeable-ultra-thin-wireless-mouse-silver-white-label-mpg8920882.html
GUEETON 2.4G  Bluetooth Dual Mode Rechargeable Wireless Mouse Black,KSh 380,KSh 590,36%,https://www.jumia.co.ke/gueeton-2.4g-bluetooth-dual-mode-rechargeable-wireless-mouse-black-152702491.html
Foldable Portable Laptop Stand With Mobile Phone Stand 3 In 1 Black,KSh 490,KSh 790,38%,https://www.jumia.co.ke/generic-foldable-portable-laptop-stand-with-mobile-phone-stand-3-in-1-black-247597207.html
White Label Adjustable Aluminum Laptops Stand - Silver,KSh 356,KSh 938,62%,https://www.jumia.co.ke/adjustable-aluminum-laptop-stand-silver-white-label-mpg8920868.html
VIC ♛128GB USB3.0 Metal Flash Drives Portable Usb Drive Waterproof Memoria Usb Disk,KSh 541,"KSh 1,340",60%,https://www.jumia.co.ke/vic-128gb-usb3.0-metal-flash-drives-portable-usb-drive-waterproof-memoria-usb-disk-321899157.html
Wireless Bluetooth + 2.4G Dual-mode Rechargeable  LED  Optical Mouse - (Black),KSh 490,"KSh 1,200",59%,https://www.jumia.co.ke/bluetooth-2.4g-dual-mode-rechargeable-led-optical-mouse-black-wireless-mpg8188892.html
GUEETON 128GB OTG Usb Flash Drive Micro Usb Type C All In One Unit,KSh 587,"KSh 1,001",41%,https://www.jumia.co.ke/gueeton-128gb-otg-usb-flash-drive-micro-usb-type-c-all-in-one-unit-65907280.html
GtyGo Anti Theft Laptop Bag  Travel Backpack black,"KSh 1,190","KSh 2,010",41%,https://www.jumia.co.ke/anti-theft-laptop-bag-travel-backpack-black-shengshi-mpg9470289.html
Vista Adjustable Plastic Laptop Stand Foldable Portable Laptop Holder,KSh 233,KSh 500,53%,https://www.jumia.co.ke/vista-adjustable-plastic-laptop-stand-foldable-portable-laptop-holder-167092631.html
2.4G Optical Wireless Rechargeable Slim Mouse - Black,KSh 389,"KSh 1,185",67%,https://www.jumia.co.ke/generic-2.4g-optical-wireless-rechargeable-slim-mouse-black-35222283.html
Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop Stand,KSh 455,"KSh 1,200",62%,https://www.jumia.co.ke/generic-portable-aluminium-alloy-fold-able-computer-support-laptop-stand-66795009.html
SXCHEN New Tablet Sleeve Laptop Bag Tablet Sleeve 13 14 15.6 Inch,KSh 127 - KSh 190,KSh 477 - KSh 729,74%,https://www.jumia.co.ke/sxchen-new-tablet-sleeve-laptop-bag-tablet-sleeve-13-14-15.6-inch-191144571.html
VGA To HDMI Converter Adapter Cable With Audio Output,KSh 661,"KSh 1,226",46%,https://www.jumia.co.ke/generic-vga-to-hdmi-converter-adapter-cable-with-audio-output-138117708.html
GtyGo 2 pcs USB Wired Mouse Optical 1000 DPI Precision Plug Play,KSh 289,KSh 804,64%,https://www.jumia.co.ke/gtygo-2-pcs-usb-wired-mouse-optical-1000-dpi-precision-plug-play-313493188.html
White Label Colorful LED 2.4G Rechargeable Mouse - Gold,KSh 336,KSh 536,37%,https://www.jumia.co.ke/colorful-led-2.4g-rechargeable-mouse-gold-white-label-mpg9519555.html
3-in-1 Rotating USB Flash Drive 128G - Black,KSh 500,"KSh 1,301",62%,https://www.jumia.co.ke/generic-3-in-1-rotating-usb-flash-drive-128g-black-171361956.html
10inch Wireless Bluetooth Keyboard+Mouse 7 Colors Backlit Rechargeable Keyboard,"KSh 1,313","KSh 2,392",45%,https://www.jumia.co.ke/generic-10inch-wireless-bluetooth-keyboardmouse-7-colors-backlit-rechargeable-keyboard-152950575.html
Foldable Portable Metal Laptop Stand With Detachable Fan,KSh 790,"KSh 1,227",36%,https://www.jumia.co.ke/generic-foldable-portable-metal-laptop-stand-with-detachable-fan-274315412.html
GtyGo Portable External Hard Disk 320 GB USB3.0 High Speed Handcrafted Fabric Surface,"KSh 1,836","KSh 2,144",14%,https://www.jumia.co.ke/gtygo-portable-external-hard-disk-320-gb-usb3.0-high-speed-handcrafted-fabric-surface-257023989.html
USB Flash Drive Memory Stick 1TB - 4 in 1 USB 3.0 High Speed Thumb Drive Portable Jump Drive Storage Device for External Data Storage,"KSh 1,301","KSh 1,570",17%,https://www.jumia.co.ke/generic-usb-flash-drive-memory-stick-1tb-4-in-1-usb-3.0-high-speed-thumb-drive-portable-jump-drive-storage-device-for-external-data-storage-309352335.html
White Label Laptops Stand With Mobile Phone Holder - Black,KSh 616,KSh 938,34%,https://www.jumia.co.ke/laptops-stand-with-mobile-phone-holder-black-white-label-mpg9519553.html
VIC ♛256GB USB3.0 Metal Flash Drives Portable Usb Drive Waterproof Memoria Usb Disk,KSh 821,"KSh 2,010",59%,https://www.jumia.co.ke/vic-256gb-usb3.0-metal-flash-drives-portable-usb-drive-waterproof-memoria-usb-disk-321899156.html
Wireless 2.4G Mouse Rechargeable 5.2 Bluetooth Silent Mouse,KSh 690,"KSh 1,200",43%,https://www.jumia.co.ke/generic-wireless-2.4g-mouse-rechargeable-5.2-bluetooth-silent-mouse-268738717.html
Rubber Keyboard Shortcut Mouse Pad  non-slip keyboard pad  desk pad,KSh 509,KSh 737,31%,https://www.jumia.co.ke/generic-rubber-keyboard-shortcut-mouse-pad-non-slip-keyboard-pad-desk-pad-325547740.html
White Label Laptops Stand + Detachable Mobile Stand - Black,KSh 321,KSh 804,60%,https://www.jumia.co.ke/laptops-stand-detachable-mobile-stand-black-white-label-mpg9519552.html
Upgraded Ultra-thin Wireless Rechargeable Silent Mouse with 2.4G & Bluetooth 5.4 Dual Modes Comes with a Mouse Pad,KSh 600,KSh 871,31%,https://www.jumia.co.ke/generic-upgraded-ultra-thin-wireless-rechargeable-silent-mouse-with-2.4g-bluetooth-5.4-dual-modes-comes-with-a-mouse-pad-325494203.html
"Stand, Laptop Holder Riser Computer Stand, Adjustable Aluminum Foldable Portable Notebook Stand",KSh 454,KSh 900,50%,https://www.jumia.co.ke/stand-laptop-holder-riser-computer-stand-adjustable-aluminum-foldable-portable-notebook-stand-generic-mpg426910.html
USB 3.0 Type-C 3-in-1 OTG Card Reader For Phone & Computer,KSh 268,KSh 371,28%,https://www.jumia.co.ke/generic-usb-3.0-type-c-3-in-1-otg-card-reader-for-phone-computer-309423819.html
3 In 1 Backpack  Bag Wallet  With USB - Black,"KSh 1,032","KSh 1,601",36%,https://www.jumia.co.ke/generic-3-in-1-backpack-bag-wallet-with-usb-black-163711824.html
RichRipple 2.4G Wireless Dual-mode Bluetooth Mouse  Wireless Rechargeable Mouse,KSh 379,KSh 701,46%,https://www.jumia.co.ke/richripple-2.4g-wireless-dual-mode-bluetooth-mouse-wireless-rechargeable-mouse-179381061.html
Mouse Mat PC Wrist Rest Support,KSh 299,KSh 399,25%,https://www.jumia.co.ke/mouse-mat-pc-wrist-rest-support-generic-mpg9160957.html
